Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
ANTH 525,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=525&p_subj=ANTH,SOCIETY IN ANCIENT GREECE,,,3
ANTH 527,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=527&p_subj=ANTH,GENDER AND SYMBOLISM,,,3
ANTH 529,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=529&p_subj=ANTH,"BODIES, SENSUALITIES, & ART",,,3
ANTH 532,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=532&p_subj=ANTH,SOCIAL LIFE OF CLEAN ENERGY,,,3
ANTH 533,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=533&p_subj=ANTH,THE MATERIAL WORLD,,,3
ANTH 535,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=535&p_subj=ANTH,ANTHROPOLOGY/CULTURAL CRITIQUE,,,3
ANTH 536,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=536&p_subj=ANTH,BECOMING A DOCTOR,,,3
ANTH 538,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=538&p_subj=ANTH,READING POPULAR CULTURE,,,3
ANTH 540,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=540&p_subj=ANTH,NEOLIBERALISM & GLOBALIZATION,,,3
ANTH 544,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=544&p_subj=ANTH,CITY/CULTURE,,,3
ANTH 545,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=545&p_subj=ANTH,ARCHAEOLOGY IN SOCIAL CONTEXT,,,3
ANTH 547,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=547&p_subj=ANTH,THE U.S. AS A FOREIGN COUNTRY,,,3
