Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
ECON 212,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=212&p_subj=ECON,PRINCIPLES OF ECONOMICS II,Distribution Group II,,3
ECON 348,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=348&p_subj=ECON,ORGANIZATIONAL DESIGN,,,3
ECON 355,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=355&p_subj=ECON,FINANCIAL MARKETS,Distribution Group II,,3
ECON 370,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=370&p_subj=ECON,MICROECONOMIC THEORY,Distribution Group II,,3
ECON 375,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=375&p_subj=ECON,MACROECONOMIC THEORY,Distribution Group II,,3
ECON 382,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=382&p_subj=ECON,PROBABILITY & STATISTICS,Distribution Group III,,3
ECON 400,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=400&p_subj=ECON,ECONOMETRICS,,,3
ECON 403,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=403&p_subj=ECON,SENIOR INDEPENDENT RESEARCH,,,3
ECON 404,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=404&p_subj=ECON,SENIOR INDEPENDENT RESEARCH,,,3
ECON 415,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=415&p_subj=ECON,LABOR ECONOMICS,Distribution Group II,,3
ECON 420,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=420&p_subj=ECON,INTERNATIONAL TRADE,Distribution Group II,,3
ECON 421,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=421&p_subj=ECON,INTERNATIONAL FINANCE,,,3
ECON 435,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=435&p_subj=ECON,INDUSTRIAL ORGANIZATION,Distribution Group II,,3
ECON 436,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=436&p_subj=ECON,REGULATION,Distribution Group II,,3
ECON 437,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=437&p_subj=ECON,ENERGY ECONOMICS,,,3
ECON 438,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=438&p_subj=ECON,"BUSINESS, LAW, AND ECONOMICS",Distribution Group II,,3
ECON 439,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=439&p_subj=ECON,"TORTS, PROPERTY, AND CONTRACTS",,,3
ECON 440,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=440&p_subj=ECON,"RISK, UNCERTAINTY & INFO",,,3
ECON 445,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=445&p_subj=ECON,MANAGERIAL ECONOMICS,,,3
ECON 446,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=446&p_subj=ECON,APPLIED ECONOMETRICS,,,3
ECON 448,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=448&p_subj=ECON,CORPORATE FINANCE,Distribution Group II,,3
